Trials,VarG,VarE,Mean,H2,CV,PEV,Ac
18ayt12yrtpdIB,0,0,1,NA,0,0,NA
20Ayt9BestPerforming-Chambezi,0.109190281143364,0.109044442906948,2.14333333333333,0.666963606391493,0.154067860202248,0.0363643374490848,0.816678398386717
NPT_5CP_BUNDA_TANZANIA,0.351871054789019,0.36942667665381,1.06231957233956,0.693452482496832,0.572148736845414,0.117207182665166,0.816641309648131
14uyt16pdIB,0,0,1,NA,0,0,NA
14uyt19yrtMK,0.306942803908784,0.942727088437064,1.50250680677131,0.520452929426564,0.646214271391625,0.160339739904618,0.691103027611192
18ayt5USavannahKYK,0,0.0716842105263158,1.73,0,0.154762469203207,0,NA
18AYT6HYLDKYK,3.07086181920284e-05,0.0777631289501319,1.7099968351081,0.00131460110648932,0.163076565700287,3.06682544422159e-05,0.0362548084938069
18Pyt13Chambezi,0.0685425615590656,0.0190268717709892,2.22391277133449,0.863092740923222,0.0620248820083979,0.00998864632898185,0.924267760118642
19PYT21NM,0.0685425615590656,0.0190268717709892,2.22391277133449,0.782722451802609,0.0620248820083979,0.00998864632898185,0.924267760118642
19PYT21SR,0.0685425615590656,0.0190268717709892,2.22391277133449,0.782722451802609,0.0620248820083979,0.00998864632898185,0.924267760118642
19AYT8HYLDKYK,0.0257539684519543,0.0208333332828372,1.65,0.787621360914676,0.0874773134075653,0.00546959277087242,0.887480343959615
20UYT4EVTMVZ,0,0.634867934782609,1.43625,0,0.554768322457234,0,NA
IITA_2015_GXE_KIZIMBANI_FIRST_SEASON,0,0.894605406666667,1.31264,0,0.720559958840685,0,NA
IITA_2016_GXE_KATRIN_SECOND_SEASON,0.712077452209984,0.154349701317682,1.4057839301774,0.865001776058418,0.279469438405593,0.104599077345218,0.923638004134797
15clonalevalIK,0,0,1,NA,0,0,NA
20Uyt15BestPerforming-Chambezi,0.0347390204446228,0.066591363430834,2.09915273542415,0.601126395103819,0.122931990655626,0.0139275379875437,0.77400314349973
IITA_2015_GXE_NALIENDELE_FIRST_SEASON,0.155421634183965,0.286966328295258,0.627635890625337,0.477521388186351,0.853508204602309,0.0848261663990574,0.673957754512023
19PYT14Kabangwe,0.00836105394266384,0.0306950007526554,0.914642857142857,0.352659796551419,0.191550053252466,0.00541244636028857,0.593851662076835
20C2bPYTGSotobi,0.00137312582039035,0.473214766282403,1.875,0.00576990874749311,0.366883239325682,0.00136520300970787,0.0759599153994589
IITA_2016_GXE_MARUKU_SECOND_SEASON,0.606118433256298,0.33248508583331,1.14328122322596,0.739296083131479,0.504351147951927,0.175817477671064,0.842572749942523
17clonalevaIB,0,0.672413793103448,1.37931034482759,0,0.594506097529706,0,NA
15ayt16sel16IB,0.432682656054803,0.143339529620688,2.8651259722753,0.849846427649259,0.132141510211205,0.0672584426181688,0.918996625993491
15uyt19highTCIK,0,1.70229885057471,2.23333333333333,0,0.584203769626498,0,NA
16ayt16ppdIB,0.277622070338119,0.230846437743272,2.65130282159773,0.69970773178141,0.181218384541942,0.0843096958278882,0.834454831188823
21_YellowFreshAyt31_Namulonge,0.277622070338119,0.230846437743272,2.65130282159773,0.545996587646446,0.181218384541942,0.0843096958278882,0.834454831188823
13uyt15umu,0.12372412011443,0.247951125551685,2.57119119348606,0.695222164062762,0.193663898521506,0.041883639840617,0.813311471068954
18UYT11WrtKabangwe,0,0.0436783830645161,1.4424375,0,0.144889285875487,0,NA
18UYT11WrtRufunsa,0,0.0841868669354839,1.4936875,0,0.19425062600032,0,NA
19.East-africa.PYT.16.AG,0.310416680527365,0.0937499969638257,2.84375,0.868804673504038,0.107669877060165,0.0407252177515806,0.932096922805798
20Ayt13BestPerforming_Ilonga,0.0677129407890437,0.0632406139114637,2.0271875,0.681674487911879,0.124052099551308,0.0215547565516649,0.825635808278613
17localcultivar11Chitedze,0.00611587615720716,0.049390394395279,0.922181818181818,0.270861588441591,0.240993146305089,0.00445932022655397,0.520443645788466
18CET416highDMIK,0.0294117646872515,1.9367060932545e-11,1.05882296934378,0.999999999660783,4.15631548707209e-06,1.02531499017142e-11,0.999999999825696
18UYT11WrtKaoma,0.00712458180749512,0.0315801212189585,0.927333333333334,0.403629551118697,0.191633320751275,0.00424889005062743,0.635318464330053
18UYT11WrtMansa,0,0.0390405303030303,1.1669696969697,0,0.169316107377131,0,NA
20UYT6EVTMVZ,0.0288599348481677,0.291260867389242,1.7824543571459,0.352739976668744,0.302776839590449,0.018790711449538,0.590677346194363
17clonalevalhighdmyldIB,0.958105701468449,0.0178676292486073,1.7451028881138,0.996719810520508,0.0765971179075729,0.0103869338351204,0.994564671234544
IITA_2016_GXE_BUNDA_SECOND_SEASON,0.430972900664318,0.210773872738911,0.724660542354928,0.768008030727881,0.63353961003879,0.112552966658801,0.85955791269393
20UYT12RefColMLG,0.0287006529128043,0.0580583052956875,2.02722222222222,0.597265545504591,0.118858657087292,0.0115587417945003,0.772829570801086
21UYT10Chitala,0.0190497687030949,0.0525140206784027,1.55720570626242,0.501136084654757,0.147160633570998,0.00964338794870743,0.702694288579499
17AYT17Chitala,0.000227505298382771,0.000159743653675775,0.135967366565844,0.782983650381774,0.0929559343524116,5.31023925909664e-05,0.875550298825433
IITA_2015_GXE_MARUKU_FIRST_SEASON,0,0.536742781376518,0.577538461538461,0,1.2685342412625,0,NA
