repeats,id,predOf,Trait,Accuracy,Model
3,Fold4,GEBV,Compact_type,-0.006600011215970938,Additive_Dom
3,Fold4,GETGV,Compact_type,0.01326903044369642,Additive_Dom
3,Fold5,GEBV,BranchlevelNum,0.4328300527367383,Additive_Dom
3,Fold5,GETGV,BranchlevelNum,0.42727562803805896,Additive_Dom
3,Fold5,GEBV,FirstBranchHeight,0.2649443719755537,Additive_Dom
3,Fold5,GETGV,FirstBranchHeight,0.2649443719755537,Additive_Dom
3,Fold5,GEBV,PlantHeight,0.25993933170464495,Additive_Dom
3,Fold5,GETGV,PlantHeight,0.25911657907588337,Additive_Dom
3,Fold5,GEBV,Cylindrical_type,0.13076729944721158,Additive_Dom
3,Fold5,GETGV,Cylindrical_type,0.1234176162994917,Additive_Dom
3,Fold5,GEBV,Umbrella_type,0.009927002469912122,Additive_Dom
3,Fold5,GETGV,Umbrella_type,0.05097529277358706,Additive_Dom
3,Fold5,GEBV,Open_type,0.3322199034025955,Additive_Dom
3,Fold5,GETGV,Open_type,0.35884961177527763,Additive_Dom
3,Fold5,GEBV,Compact_type,0.04468132361090631,Additive_Dom
3,Fold5,GETGV,Compact_type,0.14489577140756915,Additive_Dom
